Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Cape Campbell Aws,4424,G14722,-41.727,174.275,2,G,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Surface Wind: Hourly
Station,Date(UTC),Time(UTC),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Cape Campbell Aws,20190801,0000,203,5.7,-,-,1,H
Cape Campbell Aws,20190801,0100,227,6.1,-,-,1,H
Cape Campbell Aws,20190801,0200,223,3.8,-,-,1,H
Cape Campbell Aws,20190801,0300,251,2.5,-,-,1,H
Cape Campbell Aws,20190801,0400,202,2.3,-,-,1,H
Cape Campbell Aws,20190801,0500,212,2.8,-,-,1,H
Cape Campbell Aws,20190801,0600,227,2.9,-,-,1,H
Cape Campbell Aws,20190801,0700,273,2.8,-,-,1,H
Cape Campbell Aws,20190801,0800,305,2.9,-,-,1,H
Cape Campbell Aws,20190801,0900,271,4.2,-,-,1,H
Cape Campbell Aws,20190801,1000,288,3.7,-,-,1,H
Cape Campbell Aws,20190801,1100,116,2.9,-,-,1,H
Cape Campbell Aws,20190801,1200,286,3.0,-,-,1,H
Cape Campbell Aws,20190801,1300,290,2.8,-,-,1,H
Cape Campbell Aws,20190801,1400,308,3.1,-,-,1,H
Cape Campbell Aws,20190801,1500,284,5.2,-,-,1,H
Cape Campbell Aws,20190801,1600,278,5.8,-,-,1,H
Cape Campbell Aws,20190801,1700,300,4.6,-,-,1,H
Cape Campbell Aws,20190801,1800,299,3.8,-,-,1,H
Cape Campbell Aws,20190801,1900,313,6.9,-,-,1,H
Cape Campbell Aws,20190801,2000,294,7.3,-,-,1,H
Cape Campbell Aws,20190801,2100,324,11.7,-,-,1,H
Cape Campbell Aws,20190801,2200,343,14.3,-,-,1,H
Cape Campbell Aws,20190801,2300,13,10.1,-,-,1,H
Cape Campbell Aws,20190802,0000,344,10.3,-,-,1,H
Cape Campbell Aws,20190802,0100,239,12.8,-,-,1,H
Cape Campbell Aws,20190802,0200,2,4.6,-,-,1,H
Cape Campbell Aws,20190802,0300,294,7.4,-,-,1,H
Cape Campbell Aws,20190802,0400,292,11.1,-,-,1,H
Cape Campbell Aws,20190802,0500,298,11.7,-,-,1,H
Cape Campbell Aws,20190802,0600,295,12.3,-,-,1,H
Cape Campbell Aws,20190802,0700,278,12.0,-,-,1,H
Cape Campbell Aws,20190802,0800,270,9.0,-,-,1,H
Cape Campbell Aws,20190802,0900,272,6.4,-,-,1,H
Cape Campbell Aws,20190802,1000,206,4.2,-,-,1,H
Cape Campbell Aws,20190802,1100,210,7.8,-,-,1,H
Cape Campbell Aws,20190802,1200,197,6.3,-,-,1,H
Cape Campbell Aws,20190802,1300,206,7.0,-,-,1,H
Cape Campbell Aws,20190802,1400,204,6.6,-,-,1,H
